측정일시    ,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
19870207,성동구 ,0.046       ,0.006    ,7.5         ,0.202     ,         ,
19870207,송파구 ,0.045       ,0.005    ,2.7         ,          ,         ,
19870207,용산구 ,            ,         ,            ,          ,         ,
19870208,광진구 ,0.017       ,0.001    ,3.5         ,0.141     ,         ,
19870208,구로구 ,0.029       ,0.004    ,5.7         ,0.202     ,         ,
19870208,도봉구 ,0.059       ,0.003    ,17.4        ,0.33      ,         ,
19870208,서대문구,0.074       ,         ,10.6        ,0.227     ,         ,
19870208,서초구 ,0.056       ,0.003    ,6.8         ,0.257     ,         ,
19870208,성동구 ,0.048       ,0.007    ,8.5         ,0.205     ,         ,
19870208,송파구 ,0.04        ,0.005    ,3.7         ,          ,         ,
19870208,용산구 ,            ,         ,            ,          ,         ,
19870209,광진구 ,0.014       ,0.002    ,8.6         ,0.359     ,         ,
19870209,구로구 ,0.019       ,0.005    ,3           ,0.122     ,         ,
19870209,도봉구 ,0.052       ,0.007    ,20.5        ,0.399     ,         ,
19870209,서대문구,0.078       ,         ,13.6        ,0.246     ,         ,
19870209,서초구 ,0.055       ,0.019    ,8.4         ,0.231     ,         ,
19870209,성동구 ,0.058       ,0.004    ,15.3        ,0.319     ,         ,
19870209,송파구 ,0.039       ,0.008    ,6.2         ,          ,         ,
19870209,용산구 ,            ,         ,            ,          ,         ,
19870210,광진구 ,0.012       ,0        ,6.4         ,0.188     ,         ,
19870210,구로구 ,0.014       ,0.003    ,2           ,0.138     ,         ,
19870210,도봉구 ,0.045       ,0.001    ,21.5        ,0.359     ,         ,
19870210,서대문구,0.072       ,         ,13          ,0.209     ,         ,
19870210,서초구 ,0.05        ,0        ,8.2         ,0.203     ,         ,
19870210,성동구 ,0.039       ,0        ,15.4        ,0.309     ,         ,
19870210,송파구 ,0.034       ,0        ,9           ,          ,         ,
19870210,용산구 ,            ,         ,            ,          ,         ,
19870211,광진구 ,0.011       ,0        ,4.9         ,0.128     ,         ,
19870211,구로구 ,0.012       ,0.003    ,4.3         ,0.083     ,         ,
19870211,도봉구 ,0.035       ,0.002    ,7.9         ,0.135     ,         ,
19870211,서대문구,0.038       ,         ,4.2         ,0.064     ,         ,
19870211,서초구 ,0.037       ,0.003    ,3.6         ,0.082     ,         ,
19870211,성동구 ,0.033       ,0.001    ,6.9         ,0.181     ,         ,
19870211,송파구 ,0.033       ,0.001    ,5.2         ,          ,         ,
19870211,용산구 ,0.021       ,0        ,5.6         ,          ,         ,
19870212,광진구 ,0.01        ,0.001    ,2.8         ,0.15      ,         ,
19870212,구로구 ,0.011       ,0.002    ,3.4         ,0.075     ,         ,
19870212,도봉구 ,0.037       ,0.005    ,5.8         ,0.134     ,         ,
19870212,서대문구,0.043       ,         ,4.1         ,0.078     ,         ,
19870212,서초구 ,0.031       ,0.019    ,2           ,0.07      ,         ,
19870212,성동구 ,0.036       ,0.006    ,4.7         ,0.185     ,         ,
19870212,송파구 ,0.037       ,0.005    ,2           ,          ,         ,
19870212,용산구 ,0.018       ,0.002    ,2.8         ,          ,         ,
19870213,광진구 ,0.009       ,0        ,1.9         ,0.104     ,         ,
19870213,구로구 ,0.012       ,0        ,4.1         ,0.105     ,         ,
19870213,도봉구 ,0.043       ,0.002    ,7.6         ,0.172     ,         ,
19870213,서대문구,0.043       ,         ,4.7         ,0.107     ,         ,
19870213,서초구 ,0.035       ,0.013    ,2.5         ,0.124     ,         ,
19870213,성동구 ,0.035       ,0.002    ,3.7         ,0.154     ,         ,
